Timestamp,What is your class standing?,How many credits are you signed up for in Spring 2025?,Are you a vegetarian?,How many hours of sleep do you get on average each night? ,Would you date someone with a great personality even if you did not find them attractive?,What is your biological sex?,"How many hours do you study outside of classes (on average) per week? (if this is your first quarter at UW, you may skip this question) ",What day of the week were you born?,What is the most (in dollars) you have paid for a haircut?,How many pairs of shoes do you own?,How nervous are you about taking STAT 311,How many siblings do you have? (include step sibs too),"Suppose you were late to an exam and decided to use the ""flat tire"" excuse. Which tire would you  pick?",What is your height (in inches)?,What is the fastest you have ever driven (in miles per hour). Skip this question if you do not drive.,"How many years have you lived in WA state? (enter 0 if none, round your answer to a whole number)",How many states in the U.S. have you visited?,How much money did you earn last year (in dollars )? ,Do you usually eat breakfast in the morning?,Do you wear eyeglasses or contact lenses?,What is your monthly rent?,"Scientists predict that global warming may have big effects on the polar regions within the next 100 years. One of the possible effects is that the northern ice cap may completely melt. Would this bother you a great deal, some, a little, or not at all if it actually happened?"
4/2/2025 15:56:54,Junior,15,No,7,yes,Female,10,Sunday,75,5,2,0,left front,64,80,19,15,5000,No,Yes,1500,A great deal
4/2/2025 16:01:05,Junior,17,No,6,No,Female,7,Friday,150,10,3,2,left back,65,130,5,14,20000,No,No,850,A little
4/2/2025 18:55:01,Freshman,17,No,8,yes,Male,30,Wednesday,80,6,3,1,left back,73,80,18,15,"$4,000",No,No,"1,333.33",Somewhat
4/2/2025 20:17:50,Freshman,15,No,8,No,Male,14,Tuesday,45,12,4,1,right front,67,90,19,35,6000,Yes,No,idk ,Not al all
4/2/2025 20:44:16,Junior,15,No,9,No,Male,15,Friday,80,5,3,2,right front,70,115,21,7,20000,Yes,No,755,A little
4/2/2025 20:56:29,Junior,18,No,7,No,Male,4,Sunday,70,7,1,1,right back,69,150,25,All of them,350,No,No,0,Not al all
4/2/2025 21:01:18,Sophomore,15,No,7.5,yes,Female,14,Friday,30,5,4,5,left front,63,,one and a half year,2,none,No,Yes,1134,Somewhat
4/3/2025 0:40:59,Sophomore,16,No,7,yes,Male,5,Thursday,20,3,3,1,right front,72,102,17,26,"~10,000",No,No,1600,A great deal
4/3/2025 9:25:15,Senior,18,No,8,No,Male,6,Tuesday,60,7,1,1,left front,68.5,120,21,10+,"$30,000",Yes,Yes,"1,200",A great deal
4/3/2025 9:28:14,Sophomore,13,No,8,yes,Female,4,Sunday,48,5,2,2,right front,65,,20,5,0,No,No,1600,A great deal
4/3/2025 9:29:55,Junior,15,No,7,No,Male,14,Monday,36,2,4,1,left front,73,80,22,7,600,Yes,Yes,0,Somewhat
4/3/2025 10:55:20,Freshman,17,No,7.5,yes,Female,20,Friday,40,2,2,1,right back,69,85,19,13,"$9,000",Yes,Yes,"$1,400",A great deal
4/3/2025 12:57:38,Sophomore,14,No,8,No,Male,20,Monday,55,4,3,4,right back,72,,20,1,16000,No,Yes,0,Somewhat
4/3/2025 13:32:11,Junior,3,No,7,yes,Male,20,Tuesday,70,6,5,1,left front,66,102,19,4,10000,Yes,No,1000,Somewhat
4/3/2025 13:41:26,Freshman,15,No,8,yes,Male,21,Wednesday,30,15,1,1,left front,71,115,7,17,1100,No,No,1153,A great deal
4/3/2025 18:22:21,Junior,15,No,7,No,Prefer not to answer,10,Wednesday,300,14,5,2,left back,67,140,3,37,"10,000",Yes,No,875,A great deal
4/6/2025 15:31:07,Sophomore,18,No,8,No,Male,20,Sunday,40,5,4,3,right back,72,120,1,4,0,Yes,Yes,2000,Somewhat
4/7/2025 16:34:39,Sophomore,13,No,7,yes,Male,4,Thursday,60,10,4,2,right front,70,100,20,35,"8,000",No,No,1500,Somewhat
